sku,name,old_url,old_slug,http_status,observed_canonical,canonical_status,existing_redirect_status,migration_status,new_slug,new_url,collision_status
РТ-00001357,"Синтетическое масло для автоматических трансмиссий Amsoil Synthetic Fuel-Eff SS ATF (1Qt)",https://autohimiki.kz/product/onec-8eb3a613-3dd7-464a-8d38-2f131bd058fe,onec-8eb3a613-3dd7-464a-8d38-2f131bd058fe,200,https://autohimiki.kz/product/onec-8eb3a613-3dd7-464a-8d38-2f131bd058fe,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",sinteticeskoe-maslo-dlia-avtomaticeskix-transmissii-amsoil-synthetic-fuel-eff-ss-atf-1qt,https://autohimiki.kz/product/sinteticeskoe-maslo-dlia-avtomaticeskix-transmissii-amsoil-synthetic-fuel-eff-ss-atf-1qt,"public_set:none; drafts/history_UNKNOWN"
РТ-00001358,"Синтетическое масло для автоматических трансмиссий Amsoil Synthetic Fuel-Eff SS ATF (1G)",https://autohimiki.kz/product/onec-78a25901-673d-42ad-83aa-97bddb9535c7,onec-78a25901-673d-42ad-83aa-97bddb9535c7,200,https://autohimiki.kz/product/onec-78a25901-673d-42ad-83aa-97bddb9535c7,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",sinteticeskoe-maslo-dlia-avtomaticeskix-transmissii-amsoil-synthetic-fuel-eff-ss-atf-1g,https://autohimiki.kz/product/sinteticeskoe-maslo-dlia-avtomaticeskix-transmissii-amsoil-synthetic-fuel-eff-ss-atf-1g,"public_set:none; drafts/history_UNKNOWN"
РТ-00001359,"Присадка к охлаждающей жидкости Amsoil DOMINATOR Coolant Boost (16 On)",https://autohimiki.kz/product/onec-dfd01503-1ca7-4a76-bf07-4d6695cdd433,onec-dfd01503-1ca7-4a76-bf07-4d6695cdd433,200,https://autohimiki.kz/product/onec-dfd01503-1ca7-4a76-bf07-4d6695cdd433,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",prisadka-k-oxlazdaiushhei-zidkosti-amsoil-dominator-coolant-boost-16-on,https://autohimiki.kz/product/prisadka-k-oxlazdaiushhei-zidkosti-amsoil-dominator-coolant-boost-16-on,"public_set:none; drafts/history_UNKNOWN"
РТ-00001409,"Синтетическое моторное масло Amsoil Synthetic 0W20 SS Motor Oil (1G)",https://autohimiki.kz/product/onec-8f9b55ee-7c18-438d-823e-5d32874731d0,onec-8f9b55ee-7c18-438d-823e-5d32874731d0,200,https://autohimiki.kz/product/onec-8f9b55ee-7c18-438d-823e-5d32874731d0,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",sinteticeskoe-motornoe-maslo-amsoil-synthetic-0w20-ss-motor-oil-1g,https://autohimiki.kz/product/sinteticeskoe-motornoe-maslo-amsoil-synthetic-0w20-ss-motor-oil-1g,"public_set:none; drafts/history_UNKNOWN"
РТ-00001410,"Синтетическое моторное масло Amsoil Synthetic 0W30 SS Motor Oil (1G)",https://autohimiki.kz/product/onec-bf821a6c-b2b0-4116-ada9-4351c835f0f8,onec-bf821a6c-b2b0-4116-ada9-4351c835f0f8,200,https://autohimiki.kz/product/onec-bf821a6c-b2b0-4116-ada9-4351c835f0f8,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",sinteticeskoe-motornoe-maslo-amsoil-synthetic-0w30-ss-motor-oil-1g,https://autohimiki.kz/product/sinteticeskoe-motornoe-maslo-amsoil-synthetic-0w30-ss-motor-oil-1g,"public_set:none; drafts/history_UNKNOWN"
РТ-00001411,"Синтетическое моторное масло Amsoil Synthetic 5W20 OE Motor Oil (1G)",https://autohimiki.kz/product/onec-c064b45d-0d61-4467-9173-1c0ff7ffca61,onec-c064b45d-0d61-4467-9173-1c0ff7ffca61,200,https://autohimiki.kz/product/onec-c064b45d-0d61-4467-9173-1c0ff7ffca61,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",sinteticeskoe-motornoe-maslo-amsoil-synthetic-5w20-oe-motor-oil-1g,https://autohimiki.kz/product/sinteticeskoe-motornoe-maslo-amsoil-synthetic-5w20-oe-motor-oil-1g,"public_set:none; drafts/history_UNKNOWN"
РТ-00001412,"Синтетическое моторное масло Amsoil Synthetic 0W20 OE Motor Oil (1Qt)",https://autohimiki.kz/product/onec-980003d2-c07f-48f7-bbf6-0f2177044e45,onec-980003d2-c07f-48f7-bbf6-0f2177044e45,200,https://autohimiki.kz/product/onec-980003d2-c07f-48f7-bbf6-0f2177044e45,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",sinteticeskoe-motornoe-maslo-amsoil-synthetic-0w20-oe-motor-oil-1qt,https://autohimiki.kz/product/sinteticeskoe-motornoe-maslo-amsoil-synthetic-0w20-oe-motor-oil-1qt,"public_set:none; drafts/history_UNKNOWN"
РТ-00001413,"Синтетическое моторное масло Amsoil Synthetic 10W30 Racing Oil (1Qt)",https://autohimiki.kz/product/onec-d77fe0f0-4234-44c0-89c5-c86becb6d04f,onec-d77fe0f0-4234-44c0-89c5-c86becb6d04f,200,https://autohimiki.kz/product/onec-d77fe0f0-4234-44c0-89c5-c86becb6d04f,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",sinteticeskoe-motornoe-maslo-amsoil-synthetic-10w30-racing-oil-1qt,https://autohimiki.kz/product/sinteticeskoe-motornoe-maslo-amsoil-synthetic-10w30-racing-oil-1qt,"public_set:none; drafts/history_UNKNOWN"
РТ-00001484,"EIKOSHA ароматизатор меловой SPIRT REFIL - BRIGHT MUSK A101",https://autohimiki.kz/product/onec-b4b4a078-b0ab-4ef4-8c9d-605f1264f9ad,onec-b4b4a078-b0ab-4ef4-8c9d-605f1264f9ad,200,https://autohimiki.kz/product/onec-b4b4a078-b0ab-4ef4-8c9d-605f1264f9ad,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",eikosha-aromatizator-melovoi-spirt-refil-bright-musk-a101,https://autohimiki.kz/product/eikosha-aromatizator-melovoi-spirt-refil-bright-musk-a101,"public_set:none; drafts/history_UNKNOWN"
РТ-00001487,"Ароматизатор меловый SPIRIT REFILL-OSMANHUS",https://autohimiki.kz/product/onec-c61b35db-da77-4540-98de-a8b27d96672c,onec-c61b35db-da77-4540-98de-a8b27d96672c,200,https://autohimiki.kz/product/onec-c61b35db-da77-4540-98de-a8b27d96672c,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",aromatizator-melovyi-spirit-refill-osmanhus,https://autohimiki.kz/product/aromatizator-melovyi-spirit-refill-osmanhus,"public_set:none; drafts/history_UNKNOWN"
